repo_name,issue_number,title,state,created_at,closed_at,comments,labels,author
langchain-ai/langchain,38654,"`_parse_google_docstring` leaks non-`Args` sections (`Raises:`, `Note:`, ...) into tool descriptions",closed,2026-07-04T03:53:32Z,2026-07-04T03:53:43Z,1,external,rogerdemello
langchain-ai/langchain,38651,:Feature: Support Anthropic mid-conversation system messages (MidConversationSystemBlockParam / role:system in messages) in ChatAnthropic,open,2026-07-04T02:39:18Z,,1,"feature request, anthropic, external",Lambdua
langchain-ai/langchain,38648,ChatFireworks._combine_llm_outputs raises TypeError on nested token_usage dicts (prompt_tokens_details) in batched generate(),open,2026-07-03T19:02:26Z,,1,"bug, fireworks, external",abcgco
langchain-ai/langchain,38645,ChatFireworks._combine_llm_outputs raises TypeError on nested token_usage dicts (prompt_tokens_details) in batched generate(),closed,2026-07-03T14:44:08Z,2026-07-03T14:44:20Z,3,external,abcgco
langchain-ai/langchain,38644,ChatAnthropic.bind_tools() crashes with KeyError: 'parameters' on advisor_ built-in tool,open,2026-07-03T12:16:49Z,,3,"bug, anthropic, external",corsettigyg
langchain-ai/langchain,38643,ChatAnthropic.bind_tools() crashes with KeyError: 'parameters' on advisor_ built-in tool,closed,2026-07-03T11:59:23Z,2026-07-03T11:59:36Z,1,external,corsettigyg
langchain-ai/langchain,38639,"ChatAnthropic streaming drops thinking field from empty thinking blocks (signature_delta-only), replay fails with 400 thinking.thinking: Field required",open,2026-07-03T10:55:08Z,,3,"bug, anthropic, external",Seo-yul
langchain-ai/langchain,38638,"ChatAnthropic streaming drops `thinking` field from empty thinking blocks (signature_delta-only), replay fails with 400 `thinking.thinking: Field required`",closed,2026-07-03T10:38:31Z,2026-07-03T10:38:41Z,1,"anthropic, external",Seo-yul
langchain-ai/langchain,38637,HuggingFaceEndpointEmbeddings missing bill_to / additional_headers parameter,open,2026-07-03T09:01:30Z,,3,"bug, huggingface, external",zurfjereluhmie
langchain-ai/langchain,38630,Eval dataset for agents,closed,2026-07-02T23:48:36Z,2026-07-02T23:48:46Z,1,external,connerlambden
langchain-ai/langchain,38629,MultiQueryRetriever.unique_union() crashes on list/dict metadata,closed,2026-07-02T20:30:31Z,2026-07-02T20:49:45Z,3,"bug, langchain, external",axiom-of-choice
langchain-ai/langchain,38627,Bug: EnsembleRetriever silently overwrites metadata when documents share page_content,closed,2026-07-02T20:16:36Z,2026-07-02T20:16:47Z,1,external,axiom-of-choice
langchain-ai/langchain,38626,Bug: MultiQueryRetriever.unique_union() crashes on documents with list/dict metadata,closed,2026-07-02T20:16:20Z,2026-07-02T20:16:34Z,1,external,axiom-of-choice
langchain-ai/langchain,38612,Realistic Firefox option for PlayWrightBrowserToolkit agents,closed,2026-07-02T12:37:10Z,2026-07-02T12:37:22Z,1,external,feder-cr
langchain-ai/langchain,38610,[Bug]: ChatOpenRouter leaks httpx.AsyncClient instances causing Ephemeral Port Exhaustion,open,2026-07-02T11:28:25Z,,3,"bug, external, openrouter",QiuYucheng2003
langchain-ai/langchain,38605,Building AI-Automated Vulnerability Discovery Pipeline with Multi-LLM Orchestration - Real Case Study,closed,2026-07-02T03:21:54Z,2026-07-02T03:22:06Z,1,external,Exploit-Garbage
